Abkhazia,Sukhumi
Afghanistan,Kabul
AkrotiriAndDhekelia,Episkopi Cantonment
Albania,Tirana
Algeria,Algiers
AmericanSamoa,Pago Pago
Andorra,Andorra la Vella
Angola,Luanda
Anguilla,The Valley
AntiguaAndBarbuda,St John s
Argentina,Buenos Aires
Armenia,Yerevan
Aruba,Oranjestad
AscensionIsland,Georgetown
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Barbados,Bridgetown
Belarus,Minsk
Belgium,Brussels
Belize,Belmopan
Benin,Porto-Novo
Bermuda,Hamilton
Bhutan,Thimphu
Bolivia,Sucre
Bolivia,La Paz
BosniaAndHerzegovina,Sarajevo
Botswana,Gaborone
Brazil,Brasília
BritishVirginIslands,Road Town
Brunei,Bandar Seri Begawan
Bulgaria,Sofia
BurkinaFaso,Ouagadougou
Burundi,Bujumbura
Cambodia,Phnom Penh
Cameroon,Yaoundé
Canada,Ottawa
CapeVerde,Praia
CaymanIslands,George Town
CentralAfricanRepublic,Bangui
Chad,N'Djamena
Chile,Santiago
China,Beijing
ChristmasIsland,Flying Fish Cove
CocosKeelingIslands,West Island
Colombia,Bogotá
Comoros,Moroni
CookIslands,Avarua
CostaRica,San José
Croatia,Zagreb
Cuba,Havana
Curacao,Willemstad
Cyprus,Nicosia
CzechRepublic,Prague
CoteDIvoire,Yamoussoukro
DemocraticRepublicOfTheCongo,Kinshasa
Denmark,Copenhagen
Djibouti,Djibouti
Dominica,Roseau
DominicanRepublic,Santo Domingo
EastTimor,Dili
EasterIsland,Hanga Roa
Ecuador,Quito
Egypt,Cairo
ElSalvador,San Salvador
EquatorialGuinea,Malabo
Eritrea,Asmara
Estonia,Tallinn
Ethiopia,Addis Ababa
FalklandIslands,Stanley
FaroeIslands,Tórshavn
FederatedStatesOfMicronesia,Palikir
Fiji,Suva
Finland,Helsinki
France,Paris
FrenchGuiana,Cayenne
FrenchPolynesia,Papeete
Gabon,Libreville
Gambia,Banjul
Georgia,Tbilisi
Germany,Berlin
Ghana,Accra
Gibraltar,Gibraltar
Greece,Athens
Greenland,Nuuk
Grenada,St. George's
Guam,Hagåtña
Guatemala,Guatemala City
Guernsey,St. Peter Port
Guinea,Conakry
GuineaBissau,Bissau
Guyana,Georgetown
Haiti,Port-au-Prince
Honduras,Tegucigalpa
Hungary,Budapest
Iceland,Reykjavík
India,New Delhi
Indonesia,Jakarta
Iran,Tehran
Iraq,Baghdad
Ireland,Dublin
IsleOfMan,Douglas
Israel,Jerusalem
Italy,Rome
Jamaica,Kingston
Japan,Tokyo
Jersey,St. Helier
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
Kiribati,Tarawa
Kosovo,Pristina
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane
Latvia,Riga
Lebanon,Beirut
Lesotho,Maseru
Liberia,Monrovia
Libya,Tripoli
Liechtenstein,Vaduz
Lithuania,Vilnius
Luxembourg,Luxembourg
Macedonia,Skopje
Madagascar,Antananarivo
Malawi,Lilongwe
Malaysia,Kuala Lumpur
Maldives,Malé
Mali,Bamako
Malta,Valletta
MarshallIslands,Majuro
Mauritania,Nouakchott
Mauritius,Port Louis
Mexico,Mexico City
Moldova,Chisinau
Monaco,Monaco
Mongolia,Ulaanbaatar
Montenegro,Podgorica
Montserrat,Plymouth
Morocco,Rabat
Mozambique,Maputo
Myanmar,Naypyidaw
NagornoKarabakhRepublic,Stepanakert
Namibia,Windhoek
Nauru,Yaren
Nepal,Kathmandu
Netherlands,Amsterdam
NewCaledonia,Nouméa
NewZealand,Wellington
Nicaragua,Managua
Niger,Niamey
Nigeria,Abuja
Niue,Alofi
NorfolkIsland,Kingston
NorthKorea,Pyongyang
NorthernCyprus,Nicosia
UnitedKingdomNorthernIreland,Belfast
NorthernMarianaIslands,Saipan
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
Palau,Ngerulmud
Palestine,Jerusalem
Panama,Panama City
PapuaNewGuinea,Port Moresby
Paraguay,Asunción
Peru,Lima
Philippines,Manila
PitcairnIslands,Adamstown
Poland,Warsaw
Portugal,Lisbon
PuertoRico,San Juan
Qatar,Doha
Taiwan,Taipei
RepublicOfTheCongo,Brazzaville
Romania,Bucharest
Russia,Moscow
Rwanda,Kigali
SaintBarthelemy,Gustavia
SaintHelena,Jamestown
SaintKittsAndNevis,Basseterre
SaintLucia,Castries
SaintMartin,Marigot
SaintPierreAndMiquelon,St. Pierre
SaintVincentAndTheGrenadines,Kingstown
Samoa,Apia
SanMarino,San Marino
SaudiArabia,Riyadh
Scotland,Edinburgh
Senegal,Dakar
Serbia,Belgrade
Seychelles,Victoria
SierraLeone,Freetown
Singapore,Singapore
SintMaarten,Philipsburg
Slovakia,Bratislava
Slovenia,Ljubljana
SolomonIslands,Honiara
Somalia,Mogadishu
Somaliland,Hargeisa
SouthAfrica,Pretoria
SouthGeorgiaAndTheSouthSandwichIslands,Grytviken
SouthKorea,Seoul
SouthOssetia,Tskhinvali
SouthSudan,Juba
Spain,Madrid
SriLanka,Sri Jayawardenapura Kotte
Sudan,Khartoum
Suriname,Paramaribo
Swaziland,Mbabane
Sweden,Stockholm
Switzerland,Bern
Syria,Damascus
SaoTomeAndPrincipe,São Tomé
Tajikistan,Dushanbe
Tanzania,Dodoma
Thailand,Bangkok
Togo,Lomé
Tonga,Nukuʻalofa
Transnistria,Tiraspol
TrinidadAndTobago,Port of Spain
TristanDaCunha,Edinburgh of the Seven Seas
Tunisia,Tunis
Turkey,Ankara
Turkmenistan,Ashgabat
TurksAndCaicosIslands,Cockburn Town
Tuvalu,Funafuti
Uganda,Kampala
Ukraine,Kiev
UnitedArabEmirates,Abu Dhabi
UnitedKingdom,London
UnitedStates,Washington D C
UnitedStatesVirginIslands,Charlotte Amalie
Uruguay,Montevideo
Uzbekistan,Tashkent
Vanuatu,Port Vila
VaticanCity,Vatican City
Venezuela,Caracas
Vietnam,Hanoi
Wales,Cardiff
WallisAndFutuna,Mata-Utu
WesternSahara,El Aaiún
Yemen,Sanaá
Zambia,Lusaka
Zimbabwe,Harare
